iter	Logloss
0	0.6654235297
1	0.6446180765
2	0.6211799705
3	0.606069968
4	0.5913590362
5	0.5799377817
6	0.5696193386
7	0.5598998331
8	0.5510873919
9	0.5408397348
10	0.535231792
11	0.528794355
12	0.5239044043
13	0.5199289968
14	0.5163633307
15	0.5114926369
16	0.5084534806
17	0.505356368
18	0.5021944835
19	0.4999698027
20	0.4978976255
21	0.4954115247
22	0.4937707883
23	0.4912689602
24	0.4898307066
25	0.4878475706
26	0.486829382
27	0.4858546408
28	0.4848149539
29	0.4837561348
30	0.4825977254
31	0.4818558585
32	0.4808787677
33	0.4802743457
34	0.4796043503
35	0.4789104834
36	0.4782903612
37	0.4777827844
38	0.4769716738
39	0.4762022176
40	0.47559084
41	0.474840712
42	0.4743967835
43	0.474043278
44	0.4737869271
45	0.4731615521
46	0.4726512221
47	0.4722255296
48	0.4720470262
49	0.4716119767
50	0.4713387659
51	0.4710390233
52	0.4707225221
53	0.4704212721
54	0.4702088603
55	0.4698656201
56	0.4689800772
57	0.4687457716
58	0.4685816167
59	0.4683393831
60	0.4679021902
61	0.4677144158
62	0.4675225566
63	0.4673165464
64	0.4670972351
65	0.4668963376
66	0.4667111413
67	0.4662465845
68	0.4661152802
69	0.4659225257
70	0.4657606958
71	0.4656254747
72	0.4654062772
73	0.4649699085
74	0.4647830424
75	0.4646728137
76	0.464537302
77	0.4643215026
78	0.4642111607
79	0.464075964
80	0.4638148838
81	0.4636635963
82	0.4635164176
83	0.4632685692
84	0.4631047989
85	0.4629733788
86	0.4628005942
87	0.4624326114
88	0.4623245314
89	0.4621879139
90	0.462044309
91	0.4619347487
92	0.4617819902
93	0.4616293685
94	0.4614942273
95	0.4613518827
96	0.4611927234
97	0.460888008
98	0.4607638163
99	0.4606538049
100	0.4605278089
101	0.46038639
102	0.4602958598
103	0.4602333858
104	0.460092227
105	0.4599487425
106	0.4597134774
107	0.4595775812
108	0.4595033502
109	0.4593813372
110	0.4590435635
111	0.4589303025
112	0.4587998089
113	0.4586775844
114	0.458594785
115	0.4585034643
116	0.4584138759
117	0.4581428305
118	0.458053796
119	0.4579067458
120	0.4578256891
121	0.457725575
122	0.4576005288
123	0.4575051682
124	0.4574114936
125	0.4571927555
126	0.4570634691
127	0.4569397985
128	0.4568218397
129	0.4567012032
130	0.4566112217
131	0.4565004294
132	0.4564300885
133	0.4563304262
134	0.4562548793
135	0.4561304606
136	0.4560439147
137	0.4559387116
138	0.4558598949
139	0.4558010571
140	0.4556770079
141	0.4555959088
142	0.4555186586
143	0.4554479976
144	0.4553653712
145	0.4552689908
146	0.4551731724
147	0.4550999694
148	0.4549700106
149	0.4549101475
150	0.4547702842
151	0.4546803037
152	0.4545619972
153	0.454493444
154	0.4544236032
155	0.454261411
156	0.4542024161
157	0.4541069233
158	0.4540448172
159	0.4540443363
160	0.4539775437
161	0.453870652
162	0.4537849877
163	0.4537102722
164	0.4537070869
165	0.4535387598
166	0.4534588613
167	0.4534230086
168	0.4533582256
169	0.4532704968
170	0.4531721195
171	0.4530793496
172	0.4529984465
173	0.4529435176
174	0.4528481804
175	0.452752249
176	0.4526659109
177	0.4525982795
178	0.4525106072
179	0.4524472115
180	0.4523679424
181	0.4522963891
182	0.4522160703
183	0.4521365014
184	0.4520532536
185	0.4518612695
186	0.4517933944
187	0.4516693324
188	0.4515821558
189	0.4515278047
190	0.4514598197
191	0.4513715676
192	0.4511907252
193	0.4510868994
194	0.4510508075
195	0.450949689
