iter	Passed	Remaining
0	269	403482
1	480	359653
2	592	295848
3	706	264386
4	829	247989
5	943	234926
6	1057	225632
7	1172	218667
8	1309	216973
9	1427	212691
10	1542	208830
11	1643	203840
12	1749	200127
13	1852	196634
14	1957	193753
15	2057	190841
16	2164	188808
17	2260	186088
18	2376	185211
19	2484	183889
20	2590	182416
21	2692	180903
22	2799	179800
23	2902	178530
24	3017	178016
25	3120	176881
26	3229	176197
27	3335	175363
28	3444	174743
29	3548	173896
30	3647	172867
31	3750	172055
32	3853	171307
33	3964	170935
34	4068	170290
35	4174	169782
36	4284	169394
37	4396	169143
38	4501	168639
39	4602	167994
40	4708	167547
41	4810	166994
42	4924	166855
43	5039	166755
44	5139	166162
45	5244	165760
46	5357	165639
47	5462	165234
48	5563	164743
49	5663	164250
50	5766	163836
51	5866	163367
52	5980	163272
53	6083	162896
54	6188	162598
55	6301	162481
56	6409	162250
57	6518	162073
58	6623	161758
59	6729	161500
60	6833	161196
61	6939	160940
62	7052	160869
63	7150	160448
64	7257	160213
65	7366	160063
66	7468	159744
67	7570	159433
68	7673	159134
69	7776	158868
70	7879	158598
71	7979	158269
72	8085	158057
73	8187	157783
74	8296	157636
75	8403	157462
76	8493	156956
77	8593	156669
78	8697	156436
79	8797	156160
80	8902	155964
81	9007	155760
82	9114	155609
83	9226	155529
84	9339	155483
85	9432	155094
86	9537	154903
87	9635	154605
88	9742	154452
89	9843	154207
90	9944	153981
91	10041	153684
92	10145	153496
93	10274	153687
94	10382	153545
95	10484	153339
96	10585	153101
97	10691	152952
98	10788	152671
99	10884	152388
100	10991	152250
101	11097	152103
102	11208	152020
103	11316	151897
104	11423	151774
105	11528	151607
106	11635	151474
107	11738	151301
108	11839	151085
109	11934	150812
110	12045	150730
111	12144	150504
112	12250	150361
113	12363	150311
114	12468	150160
115	12565	149922
116	12672	149799
117	12771	149575
118	12878	149453
119	12984	149320
120	13084	149120
121	13194	149030
122	13300	148904
123	13411	148826
124	13517	148697
125	13625	148578
126	13732	148457
127	13834	148284
128	13938	148134
129	14046	148031
130	14152	147899
131	14258	147771
132	14370	147707
133	14473	147543
134	14577	147395
135	14684	147278
136	14789	147135
137	14889	146954
138	14994	146812
139	15101	146696
140	15212	146618
141	15325	146563
142	15434	146462
143	15542	146354
144	15644	146192
145	15752	146092
146	15852	145909
147	15960	145800
148	16065	145667
149	16170	145533
150	16273	145382
151	16387	145335
152	16494	145212
153	16603	145119
154	16711	145016
155	16813	144854
156	16913	144678
157	17014	144516
158	17117	144364
159	17178	143868
160	17282	143734
161	17389	143627
162	17501	143557
163	17600	143376
164	17650	142806
165	17750	142645
166	17853	142509
167	17956	142372
168	18056	142207
169	18157	142058
170	18264	141951
171	18376	141885
172	18480	141755
173	18578	141581
174	18684	141470
175	18792	141372
176	18900	141271
177	19006	141160
178	19113	141058
179	19216	140920
180	19327	140845
181	19436	140750
182	19510	140413
183	19610	140254
184	19711	140113
185	19812	139965
186	19915	139835
187	20016	139691
188	20118	139553
189	20223	139434
190	20332	139345
191	20443	139272
192	20544	139127
193	20643	138972
194	20746	138842
195	20858	138772
196	20967	138681
197	21071	138562
198	21172	138420
199	21276	138296
200	21389	138233
201	21499	138152
202	21603	138027
203	21706	137897
204	21804	137738
205	21900	137568
206	22006	137462
207	22111	137348
208	22217	137239
209	22324	137133
210	22450	137148
211	22554	137027
212	22659	136917
213	22762	136785
214	22867	136670
215	22979	136600
216	23077	136442
217	23172	136269
218	23266	136094
219	23376	136011
220	23479	135884
221	23581	135752
222	23695	135689
223	23786	135500
224	23889	135373
225	23991	135245
226	24093	135113
227	24194	134980
228	24311	134931
229	24441	134960
230	24554	134889
231	24676	134869
232	24786	134785
233	24891	134671
234	25004	134598
235	25110	134491
236	25260	134614
237	25401	134691
238	25517	134633
239	25672	134783
240	26003	135845
241	26225	136328
242	26501	137085
243	26700	137443
244	26911	137852
245	27028	137777
246	27137	137666
247	27289	137768
248	27399	137656
249	27506	137534
250	27621	137448
251	27740	137380
252	27869	137365
253	27973	137222
254	28078	137087
255	28181	136943
256	28291	136834
257	28420	136817
258	28552	136810
259	28668	136728
260	28764	136548
261	28881	136471
262	28991	136357
263	29118	136327
264	29269	136405
265	29446	136606
266	29592	136656
267	29710	136578
268	29822	136475
269	29926	136330
270	30030	136190
271	30127	136017
272	30240	135914
273	30357	135833
274	30462	135694
275	30562	135536
276	30668	135407
277	30766	135241
278	30865	135077
279	30973	134956
280	31075	134809
281	31179	134668
