iter	Passed	Remaining
0	1811	2716048
1	2504	1876217
2	3114	1554351
3	3556	1330260
4	4025	1203644
5	4445	1106939
6	4950	1055772
7	5340	996061
8	5766	955235
9	6280	935795
10	6958	941907
11	7337	909811
12	7843	897141
13	8254	876180
14	8923	883424
15	9657	895742
16	9999	872274
17	11096	913576
18	12165	948296
19	12830	949424
20	13128	924615
21	13411	901019
22	13726	881507
23	14040	863460
24	14353	846836
25	14686	832624
26	14972	816817
27	15307	804711
28	15600	791335
29	15866	777472
30	16146	765118
31	16418	753192
32	16758	745012
33	17087	736759
34	17350	726240
35	17687	719294
36	17967	710462
37	18253	702275
38	18619	697528
39	18998	693431
40	19305	686983
41	19574	679512
42	19885	673781
43	20148	666744
44	20436	660770
45	20741	655625
46	21072	651440
47	21357	646077
48	21745	643938
49	22087	640537
50	22380	635865
51	22681	631594
52	22976	627289
53	23288	623624
54	23709	622909
55	24089	621160
56	24513	620566
57	24843	617649
58	25110	613280
59	25359	608634
60	25707	606452
61	25979	602566
62	26277	599372
63	26581	596419
64	26871	593236
65	27155	590005
66	27442	586944
67	27827	586005
68	28128	583352
69	28432	580830
70	28841	580489
71	29341	581931
72	29708	580732
73	30116	580344
74	30483	579192
75	30807	577229
76	31130	575304
77	31436	573117
78	31714	570451
79	32039	568695
80	32386	567370
81	32699	565462
82	33010	563559
83	33290	561184
84	33646	560115
85	33993	558915
86	34330	557572
87	34690	556631
88	35008	555027
89	35358	553945
90	35751	553552
91	36078	552151
92	36436	551245
93	36750	549697
94	37065	548181
95	37461	547873
96	37835	547250
97	38192	546389
98	38565	545764
99	39369	551167
100	39890	552545
101	40240	551537
102	40549	549979
103	40879	548731
104	41213	547548
105	41555	546498
106	41917	545712
107	42294	545134
108	42632	544057
109	42919	542348
110	43200	540592
111	43494	539018
112	43823	537905
113	44108	536268
114	44410	534862
115	44705	533377
116	44985	531757
117	45378	531468
118	45695	530298
119	45985	528831
120	46274	527380
121	46562	525928
122	46828	524251
123	47116	522835
124	47404	521446
125	47655	519675
126	47902	517871
127	48212	516779
128	48543	515914
129	48884	515169
130	49282	515022
131	49608	514125
132	49884	512723
133	50177	511506
134	50464	510247
135	50824	509739
136	51162	509014
137	51439	507689
138	51739	506597
139	52064	505773
140	52337	504439
141	52634	503362
142	53067	503580
143	53388	502744
144	53766	502434
145	54056	501316
146	54391	500619
147	54714	499821
148	55021	498882
149	55344	498099
150	55621	496911
151	55958	496261
152	56258	495292
153	56560	494355
154	56859	493394
155	57157	492431
156	57476	491660
157	57798	490917
158	58117	490158
159	58404	489135
160	58747	488585
161	59070	487878
162	59402	487249
163	59814	487272
164	60142	486604
165	60772	488373
166	64615	515763
167	66205	524912
168	67688	533096
169	69050	540220
170	69881	543110
171	70376	543372
172	70936	544120
173	71375	543927
174	71743	543201
175	72407	544700
176	72901	544911
177	73307	544454
178	73796	544612
179	74352	545253
180	74950	546183
181	75411	546109
182	75858	545933
183	76418	546555
184	76856	546306
185	77197	545365
186	77615	544968
187	78056	544733
188	78436	544075
189	78852	543667
190	79274	543300
191	79634	542511
192	80029	541960
193	80364	541009
194	80678	539923
195	81048	539223
196	81465	538827
197	82202	540546
198	82605	540051
199	82988	539423
200	83399	538984
201	83880	538992
202	84241	538232
203	84735	538319
204	85203	538235
205	85642	537970
206	86140	538066
207	86442	536940
208	86752	535874
209	87180	535539
210	87691	535710
211	87979	534518
212	88316	533629
213	88654	532752
214	88943	531593
215	89351	531146
216	90707	536304
217	91440	537740
218	92270	539716
219	93210	542317
220	93698	542262
221	94172	542130
222	94529	541319
223	95050	541446
224	95634	541931
225	95987	541098
226	97294	545622
227	100152	558746
228	101203	561703
229	102266	564686
230	102843	564973
231	103404	565159
232	103838	564651
233	104291	564241
234	104748	563860
235	105278	563861
236	105705	563316
237	106130	562760
238	106555	562202
239	106974	561614
240	107561	561908
241	108487	563957
242	109694	567432
243	110065	566566
244	110503	566046
245	110809	564859
246	111167	563937
247	111574	563270
248	111903	562215
249	112200	561002
250	112607	560348
251	112946	559353
252	113287	558377
253	114937	563828
254	115915	565942
255	117379	570391
256	117893	570198
257	118623	571047
258	119457	572383
259	119860	571642
260	120421	571657
261	120773	570677
262	121869	573204
