order_id,order_timestamp,distance_in_meters,duration_in_seconds,tender_id,tender_timestamp,driver_id,driver_reg_date,driver_rating,carmodel,carname,platform,pickup_in_meters,pickup_in_seconds,user_id,price_start_local,price_bid_local,is_done,
7841348880,2020-05-01 00:05:14,3404,486,14689329059,2020-05-01 00:05:19,29368889,2019-09-22,5,Logan,Renault,android,790,169,16458846,180,200,done,
7841349235,2020-05-01 00:06:25,994,176,14689329570,2020-05-01 00:07:03,16775674,2019-02-04,5,Sandero Stepway,Renault,android,469,85,8199106,160,200,done,
7841349809,2020-05-01 00:08:19,2749,471,14689330045,2020-05-01 00:08:38,7987646,2017-12-21,5,Avensis,Toyota,android,436,160,32924653,150,200,done,
7841351242,2020-05-01 00:13:15,2339,323,14689331841,2020-05-01 00:14:43,8012882,2017-12-23,4.94737,Logan,Renault,ios,976,143,27793191,250,250,done,
7841351578,2020-05-01 00:14:20,6420,716,14689331971,2020-05-01 00:15:06,29368889,2019-09-22,5,Logan,Renault,android,976,147,121718432,250,300,done,
7841352844,2020-05-01 00:18:18,1766,375,14689333054,2020-05-01 00:18:28,16083392,2019-01-16,4.90499,Cerato,Kia,android,1393,235,8682584,200,250,cancel,
7841352866,2020-05-01 00:18:22,1339,189,14689333442,2020-05-01 00:19:42,31623443,2019-10-21,5,Гранта,Лада,ios,1195,209,45100757,200,320,done,
7841353362,2020-05-01 00:19:51,0,0,14689333761,2020-05-01 00:20:41,8012882,2017-12-23,4.94737,Logan,Renault,ios,4237,502,28579928,150,200,cancel,
7841354770,2020-05-01 00:24:39,6348,755,14689335417,2020-05-01 00:26:14,7821425,2017-12-07,5,CX-5,Mazda,ios,2153,302,43433247,200,430,cancel,
7841354970,2020-05-01 00:25:21,1241,225,14689335225,2020-05-01 00:25:29,16083392,2019-01-16,4.90499,Cerato,Kia,android,1243,172,29310721,150,200,cancel,
7841355589,2020-05-01 00:27:22,7483,1017,14689335841,2020-05-01 00:27:43,29368889,2019-09-22,5,Logan,Renault,android,2040,291,35047132,300,300,cancel,
7841356085,2020-05-01 00:29:03,0,0,14689336362,2020-05-01 00:29:28,16083392,2019-01-16,4.90499,Cerato,Kia,android,800,141,12811415,400,530,cancel,
7841356229,2020-05-01 00:29:30,2765,452,14689336393,2020-05-01 00:29:35,7987646,2017-12-21,5,Avensis,Toyota,android,263,59,303130241,150,200,done,
7841356279,2020-05-01 00:29:37,5675,622,14689336730,2020-05-01 00:30:38,31623443,2019-10-21,5,Гранта,Лада,ios,425,142,7617168,250,300,done,
7841356974,2020-05-01 00:31:56,4232,538,14689338661,2020-05-01 00:37:22,102050215,2021-11-19,5,Веста,Лада,android,1111,262,12517005,200,250,done,
7841357959,2020-05-01 00:35:33,7203,932,14689338192,2020-05-01 00:35:37,29368889,2019-09-22,5,Logan,Renault,android,994,116,121718432,250,250,done,
7841358420,2020-05-01 00:37:13,0,0,14689338930,2020-05-01 00:38:16,7944722,2017-12-18,4.98155,Astra,Opel,android,593,109,31514241,150,200,done,
7841358949,2020-05-01 00:39:03,0,0,14689339635,2020-05-01 00:40:29,7987646,2017-12-21,5,Avensis,Toyota,android,1673,256,300073673,300,400,done,
7841359396,2020-05-01 00:40:48,2479,363,14689339785,2020-05-01 00:40:58,8012882,2017-12-23,4.94737,Logan,Renault,ios,1913,283,302403490,250,250,done,
7841360684,2020-05-01 00:45:37,7305,907,14689341405,2020-05-01 00:46:12,29368889,2019-09-22,5,Logan,Renault,android,2555,418,71676958,300,300,cancel,
7841360692,2020-05-01 00:45:38,5700,651,14689341328,2020-05-01 00:45:55,48191897,2020-05-09,5,Cruze,Chevrolet,ios,834,115,8931093,250,300,cancel,
7841361155,2020-05-01 00:47:31,5250,748,14689344842,2020-05-01 00:58:00,102050215,2021-11-19,5,Веста,Лада,android,3329,458,172242335,150,250,cancel,
7841361734,2020-05-01 00:49:42,1131,205,14689346400,2020-05-01 01:03:46,102050215,2021-11-19,5,Веста,Лада,android,1161,271,105065928,150,200,cancel,
7841361734,2020-05-01 00:49:42,1131,205,14689344278,2020-05-01 00:55:56,7987646,2017-12-21,5,Avensis,Toyota,android,1511,299,105065928,150,200,cancel,
7841362110,2020-05-01 00:51:15,1218,161,14689343760,2020-05-01 00:53:57,7987646,2017-12-21,5,Avensis,Toyota,android,1226,170,9117975,150,200,cancel,
7841362657,2020-05-01 00:53:19,5791,444,14689343638,2020-05-01 00:53:31,8012882,2017-12-23,4.94737,Logan,Renault,ios,1773,463,302291307,350,350,done,
7841363429,2020-05-01 00:56:39,1218,161,14689344491,2020-05-01 00:56:44,7987646,2017-12-21,5,Avensis,Toyota,android,517,120,9117975,150,200,cancel,
7841363758,2020-05-01 00:57:51,1218,161,14689344869,2020-05-01 00:58:05,7987646,2017-12-21,5,Avensis,Toyota,android,499,113,9117975,150,150,done,
7841364853,2020-05-01 01:02:37,3671,487,14689346186,2020-05-01 01:02:59,31623443,2019-10-21,5,Гранта,Лада,ios,3128,304,76389575,200,250,done,
7841365106,2020-05-01 01:03:45,4012,445,14689346659,2020-05-01 01:04:46,102050215,2021-11-19,5,Веста,Лада,android,4374,613,117479050,200,300,done,
7841365223,2020-05-01 01:04:14,0,0,14689346562,2020-05-01 01:04:21,7944722,2017-12-18,4.98155,Astra,Opel,android,706,102,11123505,150,200,cancel,
7841366309,2020-05-01 01:08:37,6351,848,14689347737,2020-05-01 01:08:42,29368889,2019-09-22,5,Logan,Renault,android,857,117,301415103,200,250,done,
7841369049,2020-05-01 01:19:22,5098,530,14689351082,2020-05-01 01:20:07,31623443,2019-10-21,5,Гранта,Лада,ios,2538,405,188572776,250,300,done,
7841369309,2020-05-01 01:20:26,3405,456,14689351345,2020-05-01 01:21:04,7987646,2017-12-21,5,Avensis,Toyota,android,1774,265,131917456,180,240,cancel,
7841370117,2020-05-01 01:23:48,0,0,14689352181,2020-05-01 01:23:55,102050215,2021-11-19,5,Веста,Лада,android,760,109,117479050,150,150,done,
